Frame,Gaze_X,Gaze_Y,Fixation,Side
284,-0.1514,-0.0143,False,Center
285,-0.1242,-0.0315,False,Center
286,-0.1118,-0.0418,False,Center
287,-0.0834,-0.037,False,Center
288,-0.0602,-0.014,False,Center
289,-0.0278,-0.027,True,Center
290,-0.0277,-0.0339,True,Center
291,0.0139,-0.0362,True,Center
292,-0.0115,-0.022,True,Center
293,-0.0089,-0.0814,True,Center
294,-0.0224,-0.0719,True,Center
295,-0.0131,-0.0761,True,Center
296,-0.0113,-0.0618,True,Center
297,-0.025,-0.0531,True,Center
298,-0.026,-0.0408,True,Center
299,-0.0133,-0.0493,True,Center
300,-0.0104,-0.0397,True,Center
301,-0.0363,-0.0436,True,Center
302,-0.0374,-0.0202,True,Center
303,-0.0629,-0.0098,False,Center
304,-0.0519,-0.0333,False,Center
305,-0.0643,-0.0211,False,Center
306,-0.0772,-0.0305,False,Center
307,-0.0574,-0.0192,False,Center
308,-0.0834,-0.0209,False,Center
309,-0.0722,-0.0264,False,Center
310,-0.0823,-0.021,False,Center
311,-0.1007,-0.0006,False,Center
312,-0.0711,-0.0372,False,Center
313,-0.0343,-0.0369,True,Center
314,0.0283,-0.0602,True,Center
315,0.0703,-0.0466,False,Center
316,0.0466,0.0213,True,Center
317,0.0923,-0.0691,False,Center
318,-0.0042,-0.0627,True,Center
319,-0.0192,-0.0621,True,Center
320,-0.0524,-0.0289,False,Center
321,-0.0482,-0.0399,True,Center
322,-0.0459,-0.0343,True,Center
323,-0.0376,-0.0447,True,Center
324,-0.0378,-0.039,True,Center
325,-0.0573,-0.0325,False,Center
326,-0.0392,-0.0364,True,Center
327,-0.0414,-0.0279,True,Center
328,-0.0195,-0.0432,True,Center
329,-0.0483,-0.0439,True,Center
330,-0.0491,-0.0389,True,Center
331,-0.0487,-0.04,True,Center
332,-0.0753,-0.0184,False,Center
333,-0.0799,-0.0297,False,Center
334,-0.0424,-0.0348,True,Center
335,-0.0482,-0.0378,True,Center
336,-0.0392,-0.0337,True,Center
337,-0.0392,-0.029,True,Center
338,-0.0362,-0.0357,True,Center
339,-0.0592,-0.0267,False,Center
340,-0.0663,-0.0276,False,Center
341,-0.1761,0.0834,False,Center
599,-0.0554,-0.0084,False,Center
600,-0.2851,0.0432,False,Left
601,-0.0332,0.0148,True,Center
602,-0.11,-0.0176,False,Center
603,-0.0527,-0.0498,False,Center
604,-0.0533,-0.024,False,Center
605,-0.0124,0.0046,True,Center
606,0.035,-0.0962,True,Center
607,-0.1656,-0.0511,False,Center
608,-0.0692,0.0008,False,Center
609,-0.1161,0.0626,False,Center
610,-0.0483,-0.0025,True,Center
611,-0.0596,-0.0062,False,Center
612,-0.0648,-0.0155,False,Center
613,-0.0948,0.0109,False,Center
614,-0.0709,0.0206,False,Center
615,-0.0574,-0.0022,False,Center
616,-0.061,-0.0275,False,Center
617,-0.0706,-0.0112,False,Center
618,-0.0667,-0.0186,False,Center
619,-0.0647,-0.0174,False,Center
620,-0.0633,-0.0166,False,Center
621,-0.0817,-0.0194,False,Center
622,-0.0417,-0.0263,True,Center
623,-0.0537,-0.0154,False,Center
624,-0.0093,-0.0256,True,Center
625,-0.0245,-0.0458,True,Center
626,-0.0643,-0.014,False,Center
627,-0.0734,-0.0249,False,Center
628,-0.0818,-0.0115,False,Center
629,-0.0597,-0.0153,False,Center
630,-0.0464,-0.0274,True,Center
631,-0.0405,-0.026,True,Center
632,-0.025,-0.0339,True,Center
633,-0.0296,-0.0339,True,Center
